chunk_size,chunk_overlap,event_id,user_id,k,mmr_lambda,faithfulness,relevancy
512,32,1,4,10,0.5,0.4916666666666666,0.43077619378503157
512,32,1,5,10,0.5,0.05,0.5789328418483357
512,32,1,7,10,0.5,0.07833333333333334,0.5241968328316662
512,32,1,8,10,0.5,0.05,0.49792613121857177
512,32,1,9,10,0.5,0.13333333333333333,0.5006604942748956
512,32,1,10,10,0.5,0.05,0.48611532348111536
512,32,1,11,10,0.5,0.05833333333333333,0.44607316729395646
512,32,1,1,15,0.5,0.02222222222222222,0.3938043752307933
512,32,1,2,15,0.5,0.1522222222222222,0.62876307805598
512,32,1,3,15,0.5,0.36666666666666664,0.14223012672158747
512,32,1,4,15,0.5,0.39444444444444443,0.5248723396415692
512,32,1,5,15,0.5,0.02222222222222222,0.5610112862957796
512,32,1,7,15,0.5,0.08888888888888888,0.20522638864022053
512,32,1,8,15,0.5,0.06666666666666667,0.43796980942732483
512,32,1,9,15,0.5,0.11333333333333333,0.3395778986328294
512,32,1,10,15,0.5,0.07777777777777777,0.3358822410968241
512,32,1,11,15,0.5,0.06666666666666667,0.34216100333969535
512,32,1,1,20,0.5,0.015873015873015872,0.5629442771318222
512,32,1,2,20,0.5,0.13333333333333333,0.47276384753513606
512,32,1,3,20,0.5,0.5396825396825397,0.0
512,32,1,4,20,0.5,0.46825396825396826,0.3066493576068863
512,32,1,5,20,0.5,0.0,0.446939699461767
512,32,1,7,20,0.5,0.13333333333333333,0.3416813454107051
512,32,1,8,20,0.5,0.03333333333333333,0.6553460722857406
512,32,1,9,20,0.5,0.175,0.3318898912161627
512,32,1,10,20,0.5,0.023809523809523808,0.40489210285985144
512,32,1,11,20,0.5,0.08333333333333333,0.43743731123815416
512,64,1,1,10,0.5,0.025,0.44206038761636346
512,64,1,2,10,0.5,0.19,0.5739406139862122
512,64,1,3,10,0.5,0.26666666666666666,0.29543684060001163
512,64,1,4,10,0.5,0.11666666666666665,0.42666490369669036
512,64,1,5,10,0.5,0.03333333333333333,0.7293317380173845
512,64,1,7,10,0.5,0.06666666666666667,0.6631379090762032
512,64,1,8,10,0.5,0.1,0.7099870618598644
512,64,1,9,10,0.5,0.0,0.5852285501776324
512,64,1,10,10,0.5,0.10666666666666666,0.5635803264396023
512,64,1,11,10,0.5,0.08333333333333333,0.5624027485330229
512,64,1,1,15,0.5,0.02222222222222222,0.3926163867149572
512,64,1,2,15,0.5,0.04444444444444444,0.43943053772171575
512,64,1,3,15,0.5,0.43888888888888894,0.04727051733626922
512,64,1,4,15,0.5,0.2888888888888889,0.23577835503523317
512,64,1,5,15,0.5,0.03888888888888888,0.6304666151766696
512,64,1,7,15,0.5,0.09444444444444443,0.6000603298007722
512,64,1,8,15,0.5,0.17777777777777776,0.24755493082733213
